Отметка времени,Уровень обучения,Направление,Пол,Возраст,"Оцени, насколько часто ты прокрастинируешь в учебе",Насколько прокрастинация мешает тебе учиться?,"Тревожность и стресс:

Я избегаю задач, потому что чувствую тревогу или стресс от них.","Мотивация:

Я прокрастинирую, когда не вижу смысла в задании.","Наличие дедлайна

Я работаю только когда приближается дедлайн.","Сон

Недостаток сна снижает мою продуктивность и усиливает прокрастинацию.","Социальные сети
Я часто откладываю дела, уходя в соцсети.","Кофеин

Кофе/энергетики помогают мне начать работу.","Рабочая среда

Мне сложно сосредоточиться в общежитии/доме/кафе и т.д.","Самооценка

Я прокрастинирую, потому что боюсь сделать плохо.","Усталость

Я слишком устаю, чтобы начать делать задания.",Как часто ты используешь “cramming” (делаешь всё в последний момент)?,Что ты чаще откладываешь? ,"Опиши одной фразой, почему ты прокрастинируешь чаще всего"
25.05.2025 2:00:31,Колледж,Архитектура,Женский,19,2,3,1,3,1,4,3,2,1,4,3,Иногда,Повседневные домашки,
25.05.2025 2:05:49,Бакалаврит/Специалитет,IT,Мужской,20,3,3,4,5,3,5,5,1,2,4,1,Часто,Курсовые/доклады,"Мое окружение джипити монстры, а я в этом мире ведьмак"
25.05.2025 2:06:56,Бакалаврит/Специалитет,IT,Мужской,20,4,5,5,3,4,3,2,2,1,Вариант 1,3,Всегда,"Курсовые/доклады, Подготовку к экзаменам","Долгие дедлайны дают ложное чувство свободы, и я занимаюсь другими делами"
25.05.2025 2:07:13,Колледж,Архитектура,Женский,17,5,5,4,5,5,4,5,2,4,3,5,Часто,"Курсовые/доклады, Подготовку к экзаменам",
25.05.2025 2:07:26,Колледж,Архитектура,Мужской,17,4,5,4,2,4,5,2,1,3,2,4,Часто,Курсовые/доклады,Отсутствие концентрации 
25.05.2025 2:08:25,Колледж,Архитектура,Мужской,18,4,3,3,5,5,4,2,3,5,3,5,Всегда,"Курсовые/доклады, Повседневные домашки, Подготовку к экзаменам",В Доту играю 
25.05.2025 2:10:53,Бакалаврит/Специалитет,Архитектура,Женский,17,3,4,5,5,3,5,2,5,3,3,4,Часто,"Курсовые/доклады, Повседневные домашки, Подготовку к экзаменам",устала
25.05.2025 2:11:00,Бакалаврит/Специалитет,IT,Мужской,19,4,3,1,3,4,1,2,1,1,Вариант 1,2,Всегда,"Курсовые/доклады, Повседневные домашки",Мотивация
25.05.2025 2:18:01,Колледж,Архитектура,Мужской,17,2,5,4,3,3,2,3,3,3,2,2,Иногда,Курсовые/доклады,другие дела помимо учебы
25.05.2025 2:18:06,Колледж,Архитектура,Женский,18,3,4,3,5,5,4,5,2,3,3,3,Часто,"Курсовые/доклады, Повседневные домашки, Подготовку к экзаменам",теряю фокус мотивации что-то делать 
25.05.2025 6:58:50,Бакалаврит/Специалитет,Экономист и менеджер,Мужской,19,4,2,1,4,5,4,4,2,1,Вариант 1,3,Иногда,"Курсовые/доклады, Подготовку к экзаменам",
25.05.2025 7:58:23,Магистратура,Архитектура,Женский,18,3,2,2,3,3,2,5,3,2,2,2,Часто,Курсовые/доклады,Мои мысли - якорь для начала какого-либо дела.
25.05.2025 8:44:46,Бакалаврит/Специалитет,IT,Женский,23,3,3,5,3,4,5,5,4,4,Вариант 1,4,Часто,Курсовые/доклады,"Усталость, плохой сон и соцсети влияют на меня больше всего "
25.05.2025 9:07:48,Бакалаврит/Специалитет,Инженер-строитель,Женский,22,3,2,4,3,2,2,5,5,2,4,5,Часто,Подготовку к экзаменам,
25.05.2025 9:14:50,Колледж,Архитектура,Женский,18,4,4,2,1,4,5,3,5,1,3,3,Часто,Курсовые/доклады,Лень
25.05.2025 9:19:45,Колледж,Прочее,Женский,17,5,5,5,4,5,5,5,5,5,5,5,Всегда,"Курсовые/доклады, Повседневные домашки, Подготовку к экзаменам",потому что лень(
25.05.2025 9:52:26,Бакалаврит/Специалитет,Экономист и менеджер,Женский,20,2,1,1,3,1,5,3,1,1,Вариант 1,1,Почти никогда,Подготовку к экзаменам,
25.05.2025 9:56:43,Бакалаврит/Специалитет,Экономист и менеджер,Мужской,19,4,2,5,1,4,3,1,1,3,5,2,Часто,"Курсовые/доклады, Подготовку к экзаменам","задача слишком легкая, потому её можно сделать завтра"
25.05.2025 10:12:03,Бакалаврит/Специалитет,Экономист и менеджер,Мужской,19,1,1,1,1,1,1,1,1,1,Вариант 1,1,Почти никогда,"Повседневные домашки, ",
25.05.2025 10:49:48,Бакалаврит/Специалитет,IT,Женский,19,4,5,2,2,4,5,3,5,1,3,2,Часто,"Курсовые/доклады, Повседневные домашки, Подготовку к экзаменам",Лень
25.05.2025 11:00:29,Бакалаврит/Специалитет,Экономист и менеджер,Мужской,20,1,3,1,4,2,3,1,1,1,2,3,Почти никогда,"Повседневные домашки, Подготовку к экзаменам",Потому что надо было 
25.05.2025 11:28:25,Колледж,Прочее,Женский,17,5,4,3,4,3,3,4,5,2,3,4,Иногда,Повседневные домашки,
25.05.2025 11:32:27,Колледж,IT,Женский,18,4,4,4,3,5,5,3,2,4,3,5,Часто,Повседневные домашки,Не могу сосредоточиться 
25.05.2025 12:14:47,Бакалаврит/Специалитет,IT,Мужской,19,2,4,2,1,1,4,5,1,4,Вариант 1,3,Почти никогда,"Повседневные домашки, Подготовку к экзаменам",ТИК-ТОК
25.05.2025 12:18:29,Бакалаврит/Специалитет,IT,Мужской,20,3,2,1,5,1,2,2,1,2,Вариант 1,3,Почти никогда,Подготовку к экзаменам,
25.05.2025 13:04:40,Бакалаврит/Специалитет,IT,Мужской,18,3,4,5,3,5,5,5,5,4,3,4,Часто,"Курсовые/доклады, Повседневные домашки, Подготовку к экзаменам",
25.05.2025 13:05:34,Бакалаврит/Специалитет,IT,Мужской,18,5,5,5,5,4,3,4,1,3,3,4,Часто,"Курсовые/доклады, Повседневные домашки, Подготовку к экзаменам",
25.05.2025 13:06:22,Бакалаврит/Специалитет,IT,Женский,22,4,5,4,2,4,3,4,3,4,5,2,Часто,"Курсовые/доклады, Подготовку к экзаменам",
25.05.2025 13:08:28,Бакалаврит/Специалитет,IT,Женский,18,2,2,2,5,2,1,1,1,3,5,3,Иногда,"Курсовые/доклады, Повседневные домашки","Чувствую тревогу из-за того, что могу сделать задание неправильно // выучить не тот материал"
25.05.2025 13:39:52,Бакалаврит/Специалитет,IT,Мужской,19,3,3,4,5,4,5,5,5,1,3,4,Часто,"Курсовые/доклады, Подготовку к экзаменам",
25.05.2025 13:40:52,Бакалаврит/Специалитет,IT,Мужской,19,4,5,3,5,5,5,5,1,1,2,4,Иногда,"Курсовые/доклады, Подготовку к экзаменам",Скоро лето
25.05.2025 14:27:55,Бакалаврит/Специалитет,IT,Мужской,19,3,3,2,4,4,2,5,1,4,2,2,Часто,Курсовые/доклады,за***ло
25.05.2025 14:52:48,Бакалаврит/Специалитет,Экономист и менеджер,Мужской,19,2,2,1,2,3,2,3,1,4,Вариант 1,1,Иногда,Подготовку к экзаменам,Время
25.05.2025 15:02:14,Бакалаврит/Специалитет,Экономист и менеджер,Женский,20,3,5,5,4,3,4,5,3,4,4,4,Иногда,"Повседневные домашки, Подготовку к экзаменам",Стресс 
25.05.2025 15:10:22,Бакалаврит/Специалитет,Экономист и менеджер,Женский,21,1,3,3,5,1,5,2,1,1,1,4,Иногда,"Курсовые/доклады, Повседневные домашки",
25.05.2025 15:10:27,Бакалаврит/Специалитет,IT,Мужской,18,5,1,3,4,5,4,3,1,3,3,2,Часто,лабы и идз,впадлу
25.05.2025 15:11:19,Бакалаврит/Специалитет,Экономист и менеджер,Мужской,20,4,5,5,3,4,5,5,3,4,5,5,Часто,"Курсовые/доклады, Повседневные домашки, Подготовку к экзаменам, ",Отсутствие оплаты 
25.05.2025 15:35:49,Бакалаврит/Специалитет,Экономист и менеджер,Женский,18,2,2,1,1,2,3,3,2,4,1,4,Почти никогда,Подготовку к экзаменам,Есть задачи важнее
25.05.2025 15:36:15,Бакалаврит/Специалитет,Экономист и менеджер,Женский,20,3,5,3,4,1,2,5,3,4,1,3,Почти никогда,Подготовку к экзаменам,Ощущение бесполезности от приложенных усилий
25.05.2025 15:52:30,Магистратура,Экономист и менеджер,Женский,22,3,3,1,5,3,5,1,1,4,1,5,Иногда,"Курсовые/доклады, Повседневные домашки",
25.05.2025 16:19:23,Бакалаврит/Специалитет,Экономист и менеджер,Женский,21,5,4,3,3,4,2,5,2,4,1,1,Часто,"Курсовые/доклады, Подготовку к экзаменам","не хватает концентрации, чтобы не отвлекаться"
25.05.2025 17:00:46,Бакалаврит/Специалитет,Экономист и менеджер,Женский,18,2,3,4,5,4,3,3,5,3,1,3,Иногда,Подготовку к экзаменам,
25.05.2025 17:14:23,Бакалаврит/Специалитет,Экономист и менеджер,Женский,19,3,5,3,4,5,4,3,1,4,1,3,Часто,"Курсовые/доклады, Подготовку к экзаменам",отсутствие достаточной самодисциплины
25.05.2025 19:02:09,Бакалаврит/Специалитет,Экономист и менеджер,Мужской,19,4,4,3,5,5,3,2,1,1,1,4,Часто,"Повседневные домашки, Подготовку к экзаменам",Нехотение 
25.05.2025 19:09:04,Бакалаврит/Специалитет,Экономист и менеджер,Женский,20,5,4,2,5,4,5,5,1,3,4,5,Часто,"Курсовые/доклады, Повседневные домашки, Подготовку к экзаменам",нет конкретной цели
25.05.2025 20:15:48,Бакалаврит/Специалитет,IT,Мужской,20,2,3,2,3,4,3,2,1,2,3,2,Иногда,"Курсовые/доклады, Повседневные домашки, Подготовку к экзаменам","Если знаю, что успею сделать, почему бы и нет?"
